2	1.6425493767442844e-8
3	4.223459184972199e-9
4	1.5928141257064103e-9
5	7.417999551665949e-10
6	3.950105252722166e-10
7	2.3082682870257428e-10
8	1.4440722276847827e-10
9	9.519458409383835e-11
10	6.540307793293273e-11
11	4.647071116187768e-11
12	3.394936318770946e-11
13	2.538958308507601e-11
14	1.937175071741484e-11
15	1.503775246405786e-11
16	1.185087751604621e-11
17	9.464328489844994e-12
18	7.648058706199151e-12
19	6.2458266365073884e-12
20	5.149311507955025e-12
21	4.281869212292663e-12
22	3.588413428731652e-12
23	3.0287279492863836e-12
24	2.573080075944622e-12
25	2.1991504116722473e-12
26	1.8900035213305257e-12
27	1.6326799094526903e-12
28	1.417136505038759e-12
29	1.2355288274132562e-12
30	1.0816770384772402e-12
31	9.506706885699256e-13
32	8.385828878234966e-13
33	7.422489681399262e-13
34	6.591103247534309e-13
35	5.870690943731301e-13
36	5.24410009461091e-13
37	4.697198248969748e-13
38	4.2182461400524905e-13
39	3.7974337467940454e-13
40	3.4266005328942487e-13
41	3.098869176382832e-13
42	2.808438472853553e-13
43	2.550393854245649e-13
44	2.3205422476190564e-13
45	2.1153209545142005e-13
46	1.9316699705062248e-13
47	1.766967309049514e-13
48	1.6189496506924001e-13
49	1.4856568688670515e-13
50	1.3653901881223762e-13
51	1.2566824166873028e-13
52	1.1582413109556985e-13
53	1.0689471938941542e-13
54	9.878182717568694e-14
55	9.139894849985588e-14
56	8.467011786655037e-14
57	7.852833864728547e-14
58	7.291403265624586e-14
59	6.777515040342495e-14
60	6.30650872965529e-14
61	5.874243165395362e-14
62	5.477033363064386e-14
63	5.1116048610448847e-14
64	4.7749973570248764e-14
65	4.4646138571416066e-14
66	4.178082348251212e-14
67	3.9132718402335725e-14
68	3.668287956701979e-14
69	3.441422990093667e-14
70	3.231135031748926e-14
71	3.0360058943483075e-14
72	2.8547927253391636e-14
73	2.6863404605555904e-14
74	2.529622653050528e-14
75	2.3836861994647518e-14
76	2.247680850148672e-14
77	2.1208253963382684e-14
78	2.0024118205349284e-14
79	1.8917847663011236e-14
80	1.7883659295732356e-14
81	1.6916056726462076e-14
82	1.6010175893383334e-14
83	1.516136782182146e-14
84	1.4365610374166214e-14
85	1.3618998831257642e-14
86	1.2918066712640025e-14
87	1.2259606017913082e-14
88	1.1640660660081489e-14
89	1.1058483063380263e-14
90	1.051053306749625e-14
91	9.994567284622513e-15
92	9.508347033079967e-15
93	9.049986085945904e-15
94	8.61759496348554e-15
95	8.209489192510918e-15
96	7.824091646277818e-15
97	7.459996496800954e-15
98	7.115798722995218e-15
99	6.7902592517255356e-15
100	6.482232379985963e-15
101	6.1906289421606935e-15
102	5.914422650106006e-15
103	5.652699453792087e-15
104	5.404599504864127e-15
105	5.169269636763914e-15
106	4.945987491737168e-15
107	4.734019144105642e-15
108	4.5327347445923645e-15
109	4.341497343815689e-15
110	4.1597292319746194e-15
111	3.986894703558366e-15
112	3.822504897056559e-15
113	3.666060965485163e-15
114	3.517137824979334e-15
115	3.3753195197679596e-15
116	3.240209459261268e-15
117	3.1114538609625087e-15
118	2.9886975598161203e-15
119	2.8716332393569927e-15
120	2.7599420426546874e-15
121	2.653362465480981e-15
122	2.551596718524232e-15
123	2.454429887689264e-15
124	2.3615924732230424e-15
125	2.2728813871482912e-15
126	2.188081939481432e-15
127	2.106998053754631e-15
128	2.02943225607516e-15
129	1.9552283660248837e-15
130	1.8841981490103137e-15
131	1.8162061319245748e-15
132	1.751087366845796e-15
133	1.6887090279812877e-15
134	1.6289416554815523e-15
135	1.571656586881289e-15
136	1.5167316708279387e-15
137	1.4640639705675588e-15
138	1.4135408390260628e-15
139	1.3650682609044563e-15
140	1.3185398683475582e-15
141	1.2738757919187287e-15
142	1.2309891899266952e-15
143	1.1897990860504893e-15
144	1.1502190222738038e-15
145	1.1121926151424773e-15
146	1.0756391009223271e-15
147	1.040496757362053e-15
148	1.0066999083435049e-15
149	9.741914746557578e-16
150	9.429203682670145e-16
151	9.128260765957327e-16
152	8.838552224219941e-16
153	8.559677728129084e-16
154	8.291145696537215e-16
155	8.032475543552863e-16
156	7.783304836253806e-16
157	7.543197854305601e-16
158	7.311796021261192e-16
159	7.088726827061299e-16
160	6.873663209510399e-16
161	6.666250534409003e-16
