#           k/h    P           
    0.46487E+00    0.37567E+03
    0.46853E+00    0.36944E+03
    0.47222E+00    0.36327E+03
    0.47594E+00    0.35717E+03
    0.47968E+00    0.35116E+03
    0.48346E+00    0.34526E+03
    0.48727E+00    0.33948E+03
    0.49110E+00    0.33384E+03
    0.49497E+00    0.32832E+03
    0.49887E+00    0.32293E+03
    0.50280E+00    0.31766E+03
    0.50675E+00    0.31250E+03
    0.51074E+00    0.30742E+03
    0.51477E+00    0.30241E+03
    0.51882E+00    0.29747E+03
    0.52290E+00    0.29259E+03
    0.52702E+00    0.28775E+03
    0.53117E+00    0.28296E+03
    0.53535E+00    0.27822E+03
    0.53957E+00    0.27354E+03
    0.54382E+00    0.26893E+03
    0.54810E+00    0.26438E+03
    0.55242E+00    0.25993E+03
    0.55677E+00    0.25555E+03
    0.56115E+00    0.25126E+03
    0.56557E+00    0.24705E+03
    0.57002E+00    0.24292E+03
    0.57451E+00    0.23887E+03
    0.57903E+00    0.23488E+03
    0.58359E+00    0.23095E+03
    0.58819E+00    0.22708E+03
    0.59282E+00    0.22326E+03
    0.59749E+00    0.21949E+03
    0.60219E+00    0.21577E+03
    0.60693E+00    0.21210E+03
    0.61171E+00    0.20850E+03
    0.61653E+00    0.20495E+03
    0.62138E+00    0.20146E+03
    0.62628E+00    0.19803E+03
    0.63121E+00    0.19466E+03
    0.63618E+00    0.19135E+03
    0.64119E+00    0.18810E+03
    0.64624E+00    0.18490E+03
    0.65132E+00    0.18175E+03
    0.68092E+00    0.16480E+03
    0.71187E+00    0.14936E+03
    0.74422E+00    0.13531E+03
    0.77805E+00    0.12251E+03
    0.81341E+00    0.11087E+03
    0.85037E+00    0.10029E+03
    0.88902E+00    0.90672E+02
    0.92942E+00    0.81944E+02
    0.97166E+00    0.74023E+02
    0.10158E+01    0.66840E+02
    0.10620E+01    0.60327E+02
    0.11103E+01    0.54426E+02
    0.11607E+01    0.49082E+02
    0.12135E+01    0.44246E+02
    0.12686E+01    0.39871E+02
    0.13263E+01    0.35914E+02
    0.13865E+01    0.32338E+02
    0.14495E+01    0.29108E+02
    0.15154E+01    0.26191E+02
    0.15843E+01    0.23558E+02
    0.16563E+01    0.21182E+02
    0.17316E+01    0.19039E+02
    0.18103E+01    0.17108E+02
    0.18925E+01    0.15367E+02
    0.19785E+01    0.13799E+02
    0.20685E+01    0.12387E+02
    0.21625E+01    0.11117E+02
    0.22607E+01    0.99733E+01
    0.23635E+01    0.89449E+01
    0.24709E+01    0.80202E+01
    0.25832E+01    0.71890E+01
    0.27006E+01    0.64422E+01
    0.28233E+01    0.57714E+01
    0.29516E+01    0.51691E+01
    0.30858E+01    0.46284E+01
    0.32260E+01    0.41431E+01
    0.33726E+01    0.37079E+01
    0.35259E+01    0.33175E+01
    0.36862E+01    0.29675E+01
    0.38537E+01    0.26537E+01
    0.40288E+01    0.23726E+01
    0.42119E+01    0.21208E+01
    0.44033E+01    0.18953E+01
    0.46035E+01    0.16934E+01
    0.48127E+01    0.15126E+01
    0.50314E+01    0.13509E+01
    0.52601E+01    0.12062E+01
    0.54991E+01    0.10767E+01
    0.57490E+01    0.96099E+00
    0.60103E+01    0.85752E+00
    0.62834E+01    0.76504E+00
    0.65690E+01    0.68240E+00
    0.68676E+01    0.60857E+00
    0.71797E+01    0.54262E+00
    0.75060E+01    0.48374E+00
    0.78471E+01    0.43116E+00
    0.82037E+01    0.38423E+00
    0.85765E+01    0.34234E+00
    0.89663E+01    0.30497E+00
    0.93738E+01    0.27163E+00
    0.97998E+01    0.24190E+00
    0.10245E+02    0.21538E+00
    0.10711E+02    0.19174E+00
    0.11198E+02    0.17067E+00
    0.11706E+02    0.15189E+00
    0.12238E+02    0.13515E+00
    0.12795E+02    0.12024E+00
    0.13376E+02    0.10696E+00
    0.13984E+02    0.95132E-01
    0.14620E+02    0.84599E-01
    0.15284E+02    0.75221E-01
    0.15979E+02    0.66873E-01
    0.16705E+02    0.59443E-01
    0.17464E+02    0.52831E-01
    0.18258E+02    0.46948E-01
    0.19087E+02    0.41714E-01
    0.19955E+02    0.37059E-01
    0.20862E+02    0.32919E-01
    0.21810E+02    0.29237E-01
    0.22801E+02    0.25964E-01
    0.23837E+02    0.23055E-01
    0.24921E+02    0.20468E-01
    0.26053E+02    0.18170E-01
    0.27237E+02    0.16128E-01
    0.28475E+02    0.14313E-01
    0.29769E+02    0.12701E-01
    0.31122E+02    0.11269E-01
    0.32537E+02    0.99973E-02
    0.34015E+02    0.88681E-02
    0.35561E+02    0.78654E-02
    0.37177E+02    0.69753E-02
    0.38867E+02    0.61851E-02
    0.40633E+02    0.54838E-02
    0.42480E+02    0.48614E-02
    0.44410E+02    0.43091E-02
    0.46429E+02    0.38191E-02
    0.48539E+02    0.33844E-02
    0.50745E+02    0.29987E-02
    0.53051E+02    0.26567E-02
    0.55462E+02    0.23534E-02
    0.57982E+02    0.20845E-02
    0.60618E+02    0.18460E-02
    0.63372E+02    0.16346E-02
    0.66253E+02    0.14473E-02
    0.69264E+02    0.12812E-02
    0.72411E+02    0.11340E-02
    0.75702E+02    0.10036E-02
    0.79143E+02    0.88800E-03
    0.82739E+02    0.78562E-03
    0.86500E+02    0.69494E-03
    0.90431E+02    0.61462E-03
    0.94541E+02    0.54349E-03
    0.98837E+02    0.48050E-03
    0.10333E+03    0.42473E-03
